No,CGP ,"Initial monitoring (September 30, 2022) ",,,"Final monitoring (September 29, 2023) ",,,Displacement values,,,
,,Yi ,Xi ,Zi ,Yf ,Xf ,Zf ,M(m),D(°),v(m),S(cm/day)
1,1 ,"1,942,836.343 ","444,302.864 ",1327.512 ,"1,942,836.315 ","444,302.855 ",1327.452 ,0.029 ,196.83,(-0.061),0.0081
2,2 ,"1,942,826.118 ","444,311.915 ",1327.185 ,"1,942,826.120 ","444,312.380 ",1326.929 ,0.466 ,89.643,(-0.256),0.1280
3,3 ,"1,942,880.337 ","444,294.548 ",1329.412 ,"1,942,880.266 ","444,294.972 ",1329.287 ,0.430 ,99.502,(-0.125),0.1182
4,4 ,"1,942,851.771 ","444,300.934 ",1327.497 ,"1,942,851.759 ","444,300.959 ",1327.501 ,0.028 ,115.731 ,0.004 ,0.0076
5,5 ,"1,942,720.432 ","444,390.689 ",1316.152 ,"1,942,720.420 ","444,390.694 ",1316.176 ,0.013 ,156.448 ,0.024 ,0.0035
6,6 ,"1,942,639.995 ","444,436.057 ",1318.237 ,"1,942,640.262 ","444,436.472 ",1317.903 ,0.493 ,57.341,(-0.334),0.1355
7,9 ,"1,942,535.935 ","444,522.447 ",1324.486 ,"1,942,536.037 ","444,522.908 ",1324.250 ,0.473 ,77.507,(-0.236),0.1299
8,10 ,"1,942,529.907 ","444,507.344 ",1328.241 ,"1,942,529.856 ","444,507.389 ",1328.291 ,0.067 ,138.742 ,0.050 ,0.0185
9,11 ,"1,942,509.484 ","444,453.502 ",1335.527 ,"1,942,509.756 ","444,453.855 ",1335.325 ,0.446 ,52.424,(-0.202),0.1225
10,12 ,"1,942,499.451 ","444,428.259 ",1339.293 ,"1,942,499.713 ","444,428.527 ",1339.024 ,0.375 ,45.669,(-0.269),0.1031
11,14 ,"1,942,990.480 ","444,884.801 ",1257.956 ,"1,942,990.491 ","444,884.813 ",1257.850 ,0.016 ,46.992,(-0.107),0.0045
12,15 ,"1,943,024.769 ","444,868.734 ",1260.050 ,"1,943,024.815 ","444,868.829 ",1260.048 ,0.106 ,64.377,(-0.001),0.0292
13,16 ,"1,942,942.963 ","444,937.861 ",1255.346 ,"1,942,942.967 ","444,937.904 ",1255.354 ,0.043 ,84.938 ,0.007 ,0.0118
14,17 ,"1,942,664.319 ","444,826.959 ",1279.821 ,"1,942,665.203 ","444,827.894 ",1279.793 ,1.287 ,46.641,(-0.028),0.3535
15,19 ,"1,942,718.153 ","444,856.133 ",1272.556 ,"1,942,719.092 ","444,857.119 ",1272.532 ,1.362 ,46.398,(-0.024),0.3741
16,20 ,"1,942,733.944 ","444,868.748 ",1271.906 ,"1,942,734.972 ","444,869.645 ",1271.866 ,1.365 ,41.116,(-0.040),0.3749
17,21 ,"1,942,786.746 ","444,320.922 ",1328.122 ,"1,942,786.814 ","444,321.448 ",1327.920 ,0.530 ,82.666,(-0.202),0.1457
18,23 ,"1,943,296.487 ","444,929.691 ",1262.375 ,"1,943,296.487 ","444,929.676 ",1262.376 ,0.016 ,268.531 ,0.001 ,0.0043
19,24 ,"1,943,183.169 ","444,759.617 ",1275.320 ,"1,943,183.213 ","444,759.873 ",1275.360 ,0.260 ,80.248 ,0.040 ,0.0714
20,25 ,"1,942,973.986 ","444,813.680 ",1266.796 ,"1,942,974.101 ","444,814.156 ",1266.597 ,0.490 ,76.488,(-0.199),0.1346
21,26 ,"1,943,061.777 ","445,022.389 ",1256.792 ,"1,943,061.724 ","445,022.416 ",1256.789 ,0.059 ,153.218,(-0.003),0.0162
22,27 ,"1,942,923.974 ","444,893.804 ",1257.985 ,"1,942,924.244 ","444,894.206 ",1258.016 ,0.484 ,56.139 ,0.032 ,0.1330
23,29 ,"1,942,928.953 ","444,893.175 ",1257.988 ,"1,942,929.216 ","444,893.578 ",1258.152 ,0.481 ,56.868 ,0.164 ,0.1322
24,30 ,"1,942,919.097 ","444,909.955 ",1263.974 ,"1,942,919.358 ","444,910.331 ",1263.995 ,0.458 ,55.204 ,0.021 ,0.1259
25,31 ,"1,942,910.704 ","444,911.016 ",1264.076 ,"1,942,910.998 ","444,911.457 ",1264.116 ,0.530 ,56.367 ,0.040 ,0.1455
26,32 ,"1,942,907.693 ","444,887.574 ",1264.205 ,"1,942,907.936 ","444,887.999 ",1264.273 ,0.490 ,60.254 ,0.068 ,0.1346
27,33 ,"1,942,916.089 ","444,886.431 ",1264.215 ,"1,942,916.324 ","444,886.807 ",1264.238 ,0.443 ,57.984 ,0.023 ,0.1216
28,34 ,"1,942,787.139 ","445,146.231 ",1253.390 ,"1,942,787.261 ","445,146.267 ",1253.405 ,0.127 ,16.336 ,0.015 ,0.0349
29,35 ,"1,942,732.307 ","444,982.944 ",1271.699 ,"1,942,732.294 ","444,982.981 ",1271.681 ,0.039 ,109.456,(-0.018),0.0107
30,37 ,"1,942,509.316 ","444,883.388 ",1289.006 ,"1,942,509.190 ","444,883.432 ",1288.982 ,0.134 ,160.631,(-0.024),0.0368
31,39 ,"1,942,325.017 ","444,310.032 ",1377.152 ,"1,942,325.110 ","444,309.899 ",1377.152 ,0.162 ,305.172 ,0.000 ,0.0445
32,40 ,"1,942,792.028 ","444,883.925 ",1266.724 ,"1,942,792.990 ","444,885.059 ",1266.682 ,1.487 ,49.707,(-0.042),0.4086
33,41 ,"1,943,026.248 ","444,411.560 ",1312.271 ,"1,943,026.268 ","444,411.479 ",1312.273 ,0.084 ,283.870 ,0.002 ,0.023
34,42 ,"1,943,065.176 ","444,724.104 ",1277.007 ,"1,943,065.279 ","444,724.737 ",1277.124 ,0.642 ,80.740 ,0.116 ,0.1764
35,43 ,"1,943,480.153 ","444,480.679 ",1298.983 ,"1,943,480.183 ","444,480.818 ",1299.178 ,0.142 ,77.849 ,0.194 ,0.0389
36,44,"1,943,469.04","444,212.06",1330.157,"1,943,469.14","444,212.15",1330.144,0.131,41.285,(-0.013),0.036
37,45 ,"1,943,325.615 ","444,091.443 ",1351.510 ,"1,943,325.474 ","444,091.334 ",1351.589 ,0.178 ,217.745 ,0.079 ,0.0489
38,46,"1,942,680.97","444,532.09",1315.56,"1,942,681.17","444,532.87",1315.439,0.807,75.295,(-0.121),0.2217
