CGP,X_i,Y_i,Z_i,X_f,Y_f,Z_f
1,1942836.343,444302.864,1327.512,1942836.315,444302.855,1327.452
2,1942826.118,444311.915,1327.185,1942826.12,444312.38,1326.929
3,1942880.337,444294.548,1329.412,1942880.266,444294.972,1329.287
4,1942851.771,444300.934,1327.497,1942851.759,444300.959,1327.501
5,1942720.432,444390.689,1316.152,1942720.42,444390.694,1316.176
6,1942639.995,444436.057,1318.237,1942640.262,444436.472,1317.903
9,1942535.935,444522.447,1324.486,1942536.037,444522.908,1324.25
10,1942529.907,444507.344,1328.241,1942529.856,444507.389,1328.291
11,1942509.484,444453.502,1335.527,1942509.756,444453.855,1335.325
12,1942499.451,444428.259,1339.293,1942499.713,444428.527,1339.024
14,1942990.48,444884.801,1257.956,1942990.491,444884.813,1257.85
15,1943024.769,444868.734,1260.05,1943024.815,444868.829,1260.048
16,1942942.963,444937.861,1255.346,1942942.967,444937.904,1255.354
17,1942664.319,444826.959,1279.821,1942665.203,444827.894,1279.793
19,1942718.153,444856.133,1272.556,1942719.092,444857.119,1272.532
20,1942733.944,444868.748,1271.906,1942734.972,444869.645,1271.866
21,1942786.746,444320.922,1328.122,1942786.814,444321.448,1327.92
23,1943296.487,444929.691,1262.375,1943296.487,444929.676,1262.376
24,1943183.169,444759.617,1275.32,1943183.213,444759.873,1275.36
25,1942973.986,444813.68,1266.796,1942974.101,444814.156,1266.597
26,1943061.777,445022.389,1256.792,1943061.724,445022.416,1256.789
27,1942923.974,444893.804,1257.985,1942924.244,444894.206,1258.016
29,1942928.953,444893.175,1257.988,1942929.216,444893.578,1258.152
30,1942919.097,444909.955,1263.974,1942919.358,444910.331,1263.995
31,1942910.704,444911.016,1264.076,1942910.998,444911.457,1264.116
32,1942907.693,444887.574,1264.205,1942907.936,444887.999,1264.273
33,1942916.089,444886.431,1264.215,1942916.324,444886.807,1264.238
34,1942787.139,445146.231,1253.39,1942787.261,445146.267,1253.405
35,1942732.307,444982.944,1271.699,1942732.294,444982.981,1271.681
37,1942509.316,444883.388,1289.006,1942509.19,444883.432,1288.982
39,1942325.017,444310.032,1377.152,1942325.11,444309.899,1377.152
40,1942792.028,444883.925,1266.724,1942792.99,444885.059,1266.682
41,1943026.248,444411.56,1312.271,1943026.268,444411.479,1312.273
42,1943065.176,444724.104,1277.007,1943065.279,444724.737,1277.124
43,1943480.153,444480.679,1298.983,1943480.183,444480.818,1299.178
44,1943469.037,444212.059,1330.157,1943469.136,444212.146,1330.144
45,1943325.615,444091.443,1351.51,1943325.474,444091.334,1351.589
46,1942680.969,444532.092,1315.56,1942681.174,444532.873,1315.439
