station_id,easting_m,northing_m,height_initial_m,delta_e_m,delta_n_m,delta_u_m,horizontal_magnitude_m,azimuth_deg,rtk_e_cm_day,rtk_n_cm_day,rtk_u_cm_day,insar_pre_e_cm_day,insar_pre_e_cm_day_window_std,insar_pre_e_cm_day_valid_pixels,insar_event_e_cm_day,insar_event_e_cm_day_window_std,insar_event_e_cm_day_valid_pixels,insar_pre_u_cm_day,insar_pre_u_cm_day_window_std,insar_pre_u_cm_day_valid_pixels,insar_event_u_cm_day,insar_event_u_cm_day_window_std,insar_event_u_cm_day_valid_pixels,grid_row,grid_column,grid_center_easting_m,grid_center_northing_m,station_to_grid_center_m
1,444302.8640000000,1942836.3430000001,1327.5120000000,-0.0090000000,-0.0280000002,-0.0600000000,0.0294108825,197.8188888528,-0.0024657534,-0.0076712329,-0.0164383562,0.1685061138,0.1429175973,25,0.5711174591,0.2737128106,25,-0.0882127740,0.0798595056,25,0.3321756113,0.1866161019,25,44,25,444310.0000000000,1942835.0000000000,7.2612770916
2,444311.9150000000,1942826.1180000000,1327.1850000000,0.4650000000,0.0020000001,-0.2560000000,0.4650043011,89.7535680476,0.1273972603,0.0005479452,-0.0701369863,0.1685061138,0.1429175973,25,0.5711174591,0.2737128106,25,-0.0882127740,0.0798595056,25,0.3321756113,0.1866161019,25,44,25,444310.0000000000,1942835.0000000000,9.0860964666
3,444294.5480000000,1942880.3370000001,1329.4120000000,0.4240000000,-0.0710000000,-0.1250000000,0.4299034775,99.5061430629,0.1161643836,-0.0194520548,-0.0342465753,0.1131849023,0.1454089127,25,0.6042435068,0.1439368627,25,-0.0494455177,0.0707911974,25,0.2834573173,0.0853196097,25,42,24,444290.0000000000,1942875.0000000000,7.0119806760
4,444300.9340000000,1942851.7709999999,1327.4970000000,0.0250000000,-0.0119999999,0.0040000000,0.0277308492,115.6410056161,0.0068493151,-0.0032876712,0.0010958904,0.1501378871,0.1573680894,25,0.6214694747,0.2128500511,25,-0.0707927207,0.0844450444,25,0.2910812971,0.1409032669,25,43,25,444310.0000000000,1942855.0000000000,9.6238660111
5,444390.6890000000,1942720.4320000000,1316.1520000000,0.0050000000,-0.0120000001,0.0240000000,0.0130000001,157.3801352098,0.0013698630,-0.0032876713,0.0065753425,0.0714593626,0.1375141182,25,0.5849365971,0.1398908503,25,-0.0385087025,0.0784676666,25,0.2655966548,0.0895690667,25,50,29,444390.0000000000,1942715.0000000000,5.4755223495
6,444436.0570000000,1942639.9950000001,1318.2370000000,0.4150000000,0.2670000000,-0.3340000000,0.4934713771,57.2438450410,0.1136986301,0.0731506849,-0.0915068493,0.1424307461,0.1774407873,25,0.6497628459,0.1798358732,25,-0.0651160445,0.0774280146,25,0.2506399151,0.0978516233,25,54,31,444430.0000000000,1942635.0000000000,7.8509409628
9,444522.4470000000,1942535.9350000001,1324.4860000000,0.4610000000,0.1020000000,-0.2360000000,0.4721493408,77.5238417459,0.1263013699,0.0279452055,-0.0646575342,0.1797202185,0.2299984114,25,0.6664413177,0.2059414028,25,-0.1001647333,0.0918759442,25,0.2226881583,0.0863410059,25,59,36,444530.0000000000,1942535.0000000000,7.6106526659
10,444507.3440000000,1942529.9069999999,1328.2410000000,0.0450000000,-0.0510000000,0.0500000000,0.0680147043,138.5763343361,0.0123287671,-0.0139726027,0.0136986301,0.1916606223,0.2020765907,25,0.6856734817,0.2052943523,25,-0.1053085426,0.0859244195,25,0.2211493479,0.0912068759,25,59,35,444510.0000000000,1942535.0000000000,5.7439520368
11,444453.5020000000,1942509.4839999999,1335.5270000000,0.3530000000,0.2720000001,-0.2020000000,0.4456377453,52.3843735365,0.0967123288,0.0745205480,-0.0553424658,0.1409336460,0.1809793677,24,0.6397219281,0.1922421016,25,-0.0876281950,0.0797012042,24,0.2704308564,0.1077728993,25,60,32,444450.0000000000,1942515.0000000000,6.5337783862
12,444428.2590000000,1942499.4509999999,1339.2930000000,0.2680000000,0.2620000001,-0.2690000000,0.3747906083,45.6486037455,0.0734246575,0.0717808219,-0.0736986301,0.0793539503,0.1284590878,24,0.5689828163,0.1502806857,25,-0.0597927685,0.0584735898,24,0.3104627740,0.0911451724,25,61,31,444430.0000000000,1942495.0000000000,4.7793809221
