No,CGP,Yi,Xi,Zi,Yf,Xf,Zf,M_m,D_deg,v_m,S_cm_per_day
1,1,1942836.343,444302.864,1327.512,1942836.315,444302.855,1327.452,0.029,196.83,-0.061,0.0081
2,2,1942826.118,444311.915,1327.185,1942826.12,444312.38,1326.929,0.466,89.643,-0.256,0.128
3,3,1942880.337,444294.548,1329.412,1942880.266,444294.972,1329.287,0.43,99.502,-0.125,0.1182
4,4,1942851.771,444300.934,1327.497,1942851.759,444300.959,1327.501,0.028,115.731,0.004,0.0076
5,5,1942720.432,444390.689,1316.152,1942720.42,444390.694,1316.176,0.013,156.448,0.024,0.0035
6,6,1942639.995,444436.057,1318.237,1942640.262,444436.472,1317.903,0.493,57.341,-0.334,0.1355
7,9,1942535.935,444522.447,1324.486,1942536.037,444522.908,1324.25,0.473,77.507,-0.236,0.1299
8,10,1942529.907,444507.344,1328.241,1942529.856,444507.389,1328.291,0.067,138.742,0.05,0.0185
9,11,1942509.484,444453.502,1335.527,1942509.756,444453.855,1335.325,0.446,52.424,-0.202,0.1225
10,12,1942499.451,444428.259,1339.293,1942499.713,444428.527,1339.024,0.375,45.669,-0.269,0.1031
11,14,1942990.48,444884.801,1257.956,1942990.491,444884.813,1257.85,0.016,46.992,-0.107,0.0045
12,15,1943024.769,444868.734,1260.05,1943024.815,444868.829,1260.048,0.106,64.377,-0.001,0.0292
13,16,1942942.963,444937.861,1255.346,1942942.967,444937.904,1255.354,0.043,84.938,0.007,0.0118
14,17,1942664.319,444826.959,1279.821,1942665.203,444827.894,1279.793,1.287,46.641,-0.028,0.3535
15,19,1942718.153,444856.133,1272.556,1942719.092,444857.119,1272.532,1.362,46.398,-0.024,0.3741
16,20,1942733.944,444868.748,1271.906,1942734.972,444869.645,1271.866,1.365,41.116,-0.04,0.3749
17,21,1942786.746,444320.922,1328.122,1942786.814,444321.448,1327.92,0.53,82.666,-0.202,0.1457
18,23,1943296.487,444929.691,1262.375,1943296.487,444929.676,1262.376,0.016,268.531,0.001,0.0043
19,24,1943183.169,444759.617,1275.32,1943183.213,444759.873,1275.36,0.26,80.248,0.04,0.0714
20,25,1942973.986,444813.68,1266.796,1942974.101,444814.156,1266.597,0.49,76.488,-0.199,0.1346
21,26,1943061.777,445022.389,1256.792,1943061.724,445022.416,1256.789,0.059,153.218,-0.003,0.0162
22,27,1942923.974,444893.804,1257.985,1942924.244,444894.206,1258.016,0.484,56.139,0.032,0.133
23,29,1942928.953,444893.175,1257.988,1942929.216,444893.578,1258.152,0.481,56.868,0.164,0.1322
24,30,1942919.097,444909.955,1263.974,1942919.358,444910.331,1263.995,0.458,55.204,0.021,0.1259
25,31,1942910.704,444911.016,1264.076,1942910.998,444911.457,1264.116,0.53,56.367,0.04,0.1455
26,32,1942907.693,444887.574,1264.205,1942907.936,444887.999,1264.273,0.49,60.254,0.068,0.1346
27,33,1942916.089,444886.431,1264.215,1942916.324,444886.807,1264.238,0.443,57.984,0.023,0.1216
28,34,1942787.139,445146.231,1253.39,1942787.261,445146.267,1253.405,0.127,16.336,0.015,0.0349
29,35,1942732.307,444982.944,1271.699,1942732.294,444982.981,1271.681,0.039,109.456,-0.018,0.0107
30,37,1942509.316,444883.388,1289.006,1942509.19,444883.432,1288.982,0.134,160.631,-0.024,0.0368
31,39,1942325.017,444310.032,1377.152,1942325.11,444309.899,1377.152,0.162,305.172,0,0.0445
32,40,1942792.028,444883.925,1266.724,1942792.99,444885.059,1266.682,1.487,49.707,-0.042,0.4086
33,41,1943026.248,444411.56,1312.271,1943026.268,444411.479,1312.273,0.084,283.87,0.002,0.023
34,42,1943065.176,444724.104,1277.007,1943065.279,444724.737,1277.124,0.642,80.74,0.116,0.1764
35,43,1943480.153,444480.679,1298.983,1943480.183,444480.818,1299.178,0.142,77.849,0.194,0.0389
36,44,1943469.04,444212.06,1330.157,1943469.14,444212.15,1330.144,0.131,41.285,-0.013,0.036
37,45,1943325.615,444091.443,1351.51,1943325.474,444091.334,1351.589,0.178,217.745,0.079,0.0489
38,46,1942680.97,444532.09,1315.56,1942681.17,444532.87,1315.439,0.807,75.295,-0.121,0.2217
